Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2015-01-02,24.192604064941406,24.659506182275138,23.75446781268404,24.648441478964468,212818400
2015-01-05,23.51105499267578,24.042128572510556,23.325180168263614,23.962467451123523,257142000
2015-01-06,23.513267517089844,23.772165309183304,23.152579204524255,23.575225789908487,263188400
2015-01-07,23.842971801757812,23.942547342804826,23.610626621666665,23.721266862046054,160423600
2015-01-08,24.759082794189453,24.816616214984087,24.053197237023646,24.170477357014917,237458000
2015-01-09,24.78563690185547,25.060024333551862,24.387331204040734,24.931681198896364,214798000
2015-01-12,24.17490005493164,24.922827705158852,24.075324482860438,24.916189558785653,198603200
2015-01-13,24.389535903930664,24.960439973916245,24.099659001957065,24.657285094527893,268367600
2015-01-14,24.29660415649414,24.44928658228224,24.00893877695945,24.12843047207833,195826400
2015-01-15,23.637187957763672,24.35413645717828,23.60178394813456,24.34086016459694,240056000
2015-01-16,23.45352554321289,23.805362503417978,23.27871370223808,23.68365752291758,314053200
2015-01-20,24.057626724243164,24.112946873374245,23.566383529841232,23.86289871883009,199599600
2015-01-21,24.241291046142578,24.575423545445133,23.95805045253569,24.10852133204305,194303600
2015-01-22,24.87193489074707,24.88742446217416,24.278902931738003,24.39839463484841,215185600
2015-01-23,25.00027847290039,25.170663761693863,24.679420647171945,24.849807624202118,185859200
2015-01-26,25.026836395263672,25.305650433694787,24.960453225890493,25.16845584914426,222460000
2015-01-27,24.15056037902832,24.889638333300006,24.126219382172156,24.876360351591465,382274800
2015-01-28,25.51586151123047,26.137661049350434,25.51586151123047,26.02923235653945,585908400
2015-01-29,26.310260772705078,26.37443234220827,25.571182772424184,25.739356482562314,337745600
2015-01-30,25.92522621154785,26.553662070188867,25.856628103199135,26.19961358023362,334982000
2015-02-02,26.25050926208496,26.370000953586086,25.686244910716674,26.12216783483101,250956400
2015-02-03,26.254934310913086,26.352296592733122,26.024802365111935,26.221741894917805,207662800
2015-02-04,26.456296920776367,26.66651441571849,26.179696286565385,26.221740123201066,280598800
2015-02-05,26.645132064819336,26.70955688169325,26.4918453731228,26.66290308386443,168984800
2015-02-06,26.420757293701172,26.714000306189355,26.314122700569396,26.662904175232608,174826400
2015-02-09,26.596261978149414,26.622919358205184,26.30968327825307,26.336342353208384,155559200
2015-02-10,27.10721206665039,27.13609315192371,26.694007464418103,26.696227782593457,248034000
2015-02-11,27.742576599121094,27.75146295792522,27.213850962022807,27.27383176532612,294247200
2015-02-12,28.09357452392578,28.320172390844654,27.89585774106676,28.004712648563466,297898000
2015-02-13,28.231306076049805,28.27573615929459,27.913626065642404,28.27573615929459,217088800
2015-02-17,28.397920608520508,28.631182776050874,28.19575983734099,28.322387435312024,252609600
2015-02-18,28.595640182495117,28.608968869421037,28.313503879969325,28.353491635646243,179566800
2015-02-19,28.535661697387695,28.664511338711634,28.50900431980301,28.542326041783866,149449600
2015-02-20,28.768932342529297,28.768932342529297,28.446809839820006,28.573435810214793,195793600
2015-02-23,29.546463012695312,29.546463012695312,28.80446994307108,28.884445467268826,283896400
2015-02-24,29.36207389831543,29.679755665976195,29.139920048689255,29.533133311671225,276912400
2015-02-25,28.611190795898438,29.235445917012076,28.469012477697827,29.226557865362885,298846800
2015-02-26,28.973312377929688,29.073280958926343,28.12690652779856,28.611200421862183,365150000
2015-02-27,28.53788948059082,29.00663431225127,28.489015354840497,28.880004971043817,248059200
2015-03-02,28.677841186523438,28.942204824251785,28.502341127333437,28.713386617938777,192386800
2015-03-03,28.73782730102539,28.773372736921615,28.455690912023037,28.64896710108417,151265200
2015-03-04,28.555665969848633,28.78226393790186,28.506795221641184,28.680075023740677,126665200
2015-03-05,28.082475662231445,28.602314981152542,27.93807528645344,28.56454922445823,226068400
2015-03-06,28.124679565429688,28.740045038751425,28.049148063282413,28.524555513955516,291368400
2015-03-09,28.244646072387695,28.784481799889047,27.782565564049722,28.42681219847674,354114000
2015-03-10,27.660383224487305,28.262420104484363,27.50265415510651,28.082475983552712,275426400
2015-03-11,27.156089782714844,27.718138827229005,27.127210388514765,27.713696495390376,275756000
2015-03-12,27.647052764892578,27.747023038958073,27.02057882136801,27.17164354437605,193450800
2015-03-13,27.455997467041016,27.85809714605445,27.23162326651431,27.635943264020362,207309200
2015-03-16,27.75812339782715,27.75812339782715,27.296044669322946,27.520418841684812,143497200
2015-03-17,28.22243309020996,28.284635914179564,27.9136392891467,27.969177766962392,204092400
2015-03-18,28.540111541748047,28.693398273706446,28.073588695017833,28.213545040566977,261083600
2015-03-19,28.324623107910156,28.713392444685393,28.302408056217246,28.60231549132104,183238000
2015-03-20,27.96917152404785,28.52455448333958,27.80477814097911,28.491232760007673,274780400
2015-03-23,28.26020050048828,28.402378876416456,28.10691375038762,28.24020746085773,150838800
2015-03-24,28.144678115844727,28.444583846778304,28.11579702412687,28.264641425158008,131369200
2015-03-25,27.409347534179688,28.173557491497697,27.409347534179688,28.111354670767113,206620800
2015-03-26,27.60039710998535,27.74257545518956,27.236064888537122,27.27161032228796,190291600
2015-03-27,27.38045883178711,27.70258119890729,27.304927345113093,27.673701811925902,158184800
2015-03-30,28.073591232299805,28.080255578656885,27.5470858363919,27.558194210253628,188398800
2015-03-31,27.642608642578125,28.10024511430692,27.627057938050438,28.011383219191703,168362400
2015-04-01,27.602615356445312,27.795889812565672,27.347138094649253,27.729242980827802,162485600
2015-04-02,27.840320587158203,27.893637036917603,27.589287345262466,27.77589576687005,128880400
2015-04-06,28.291296005249023,28.32684143925686,27.620392039897094,27.65149344720416,148776000
2015-04-07,27.99360466003418,28.462347683151513,27.986940316302068,28.35571479363924,140049200
2015-04-08,27.90252685546875,28.08025063657794,27.762570521902486,27.958065325202924,149316800
2015-04-09,28.11579132080078,28.1202353470404,27.693700352605102,27.9580622872825,129936000
2015-04-10,28.23575782775879,28.26019489016697,27.826995501839317,27.98028052660932,160752000
2015-04-13,28.180217742919922,28.562324360961306,28.1269012893116,28.51789087563862,145460400
2015-04-14,28.058032989501953,28.2779648347118,27.971393120331427,28.213540012397917,102098400
2015-04-15,28.164670944213867,28.24242446960834,27.99361318834602,28.082475086611023,115881600
2015-04-16,28.029144287109375,28.235747387046995,28.01581560159694,28.05358134048149,113476000
2015-04-17,27.713703155517578,28.02249698694898,27.649278311527574,27.891426979965868,207828000
2015-04-20,28.346834182739258,28.46235345227572,27.80700019732746,27.8958620865322,188217200
2015-04-21,28.193553924560547,28.48013098094247,28.140235765089624,28.457917623512692,129740400
2015-04-22,28.573429107666016,28.628967574063935,28.062476233744846,28.211318916915396,150618000
2015-04-23,28.80669593811035,28.97331136387317,28.46680074073816,28.50234617845278,183083600
2015-04-24,28.94220733642578,29.019962550671096,28.70894508348904,28.988861142932812,178103600
2015-04-27,29.46870994567871,29.575346245548285,29.135479135634252,29.393178442287084,387816800
2015-04-28,29.004409790039062,29.888581275967137,28.784479620133364,29.870811948737703,475696000
2015-04-29,28.577880859375,29.233234262067636,28.502349338207686,28.9155557754993,253544400
2015-04-30,27.80255889892578,28.57787547888214,27.675931252944945,28.57787547888214,332781600
2015-05-01,28.646743774414062,28.90888713039242,27.835883422298416,28.01360551944855,234050400
2015-05-04,28.591196060180664,29.00662601015665,28.4934478366569,28.76891979478766,203953200
2015-05-05,27.946962356567383,28.53566885794729,27.942518329255186,28.469022007462865,197085600
2015-05-06,27.77145004272461,28.157997222329197,27.40489589374996,28.115787453355995,288564000
2015-05-07,27.94322967529297,28.126156702399538,27.66660698885533,27.833918356403263,175763600
2015-05-08,28.469697952270508,28.469697952270508,28.132843981101665,28.260000530194958,222201600
2015-05-11,28.179702758789062,28.456323810934226,28.025775718347,28.41840030015216,168143200
2015-05-12,28.07930564880371,28.304617032312276,27.845069087437746,28.01907261211921,192640000
2015-05-13,28.11054039001465,28.373777003589282,28.079309071622678,28.141771708406623,138776800
2015-05-14,28.766403198242188,28.766403198242188,28.367088193902088,28.422858655086724,180814000
2015-05-15,28.72625160217285,28.88687081110001,28.601326307220393,28.793176839885668,152832000
2015-05-18,29.04302978515625,29.161262906321934,28.634789546355027,28.639252136953523,203531600
2015-05-19,29.01625633239746,29.196952076729875,28.92032937190029,29.154565982832896,178532800
2015-05-20,29.014020919799805,29.21925578540813,28.853401737330955,29.000636555253806,145819600
2015-05-21,29.310712814331055,29.364253663076564,28.962705807379187,29.016246656124697,158921600
2015-05-22,29.5672664642334,29.663193428374157,29.312953295150677,29.35757238765829,182384000
2015-05-26,28.91585922241211,29.649800184525905,28.804318332458095,29.58064537738767,282790400
2015-05-27,29.455718994140625,29.504797261823935,29.01178839640263,29.076480619826217,183332800
2015-05-28,29.397722244262695,29.435645745544992,29.246028239133516,29.41556919850586,122933200
2015-05-29,29.063095092773438,29.32410037647806,28.978322923995577,29.275022110760137,203538000
2015-06-01,29.121095657348633,29.310716542310313,29.01178775769887,29.063095616798922,128451200
2015-06-02,28.99172019958496,29.147876821742443,28.848947944475402,28.969410651865722,134670400
2015-06-03,29.027406692504883,29.210335427396807,28.978328417483077,29.147872787179708,123934000
2015-06-04,28.857866287231445,29.130026398016824,28.7574801423585,28.906944563206427,153800400
2015-06-05,28.699480056762695,28.9314870984254,28.634787814813112,28.88910100020092,142507200
2015-06-08,28.509857177734375,28.824403359791514,28.293467540769548,28.755245136506716,210699200
2015-06-09,28.425085067749023,28.572319885753103,28.02353881333458,28.26446588519156,224301600
2015-06-10,28.75078582763672,28.853401557823254,28.521010125158224,28.536625784357813,156349200
2015-06-11,28.686094284057617,29.040793608725043,28.661555144391127,28.817711758651104,141563600
